name,occupation,dod
Roberto Stella,"Presidente dell’Ordine dei Medici di Varese, Responsabile Area Strategica Formazione FNOMCeO, Presidente nazionale della SNAMID", † 11 03 2020
Giuseppe Lanati,Pneumologo, † 12 03 2020
Giuseppe Borghi ,Medico di Medicina Generale,† 11 03 2020
Raffaele Giura ,Ex primario del reparto di Pneumologia,† 13 03 2020
Carlo Zavaritt ,Pediatra e neuropsichiatra infantile,† 13 03 2020
Gino Fasoli,Medico di medicina generale già in pensione richiamato per l’emergenza Covid-19, † 14 03 2020
Luigi Frusciante,Medico di Medicina Generale, † 15 03 2020
Mario Giovita,Medico di Medicina Generale, † 16 03 2020
Luigi Ablondi,"Epidemiologo, ex direttore generale dell’", † 16 03 2020
Franco Galli,Medico di Medicina Generale, † 17 03 2020
Ivano Vezzulli,Medico di Medicina Generale e medico dello sport, † 17 03 2020
Massimo Borghese,Specialista in Otorinolaringoiatria e Foniatria, † 18 03 2020
Marcello Natali,"Medico di Medicina Generale, segretario della Federazione dei medici di Medicina generale di Lodi", † 18 03 2020
Antonino Buttafuoco,Medico di Medicina Generale, † 18 03 2020
Giuseppe Finzi,Ematologo e docente a contratto di Malattie vascolari all’Università di Parma, † 19 03 2020
Francesco Foltrani,Medico di Medicina Generale, † 19 03 2020
Andrea Carli,Medico di Medicina Generale, † 19 03 2020
Bruna Galavotti ,"Psichiatra, Decana dell’Associazione Donne Medico di Bergamo",19 03 2020 (data segnalazione)
Piero Lucarelli ,Anestesista,† 19 03 2020 (data segnalazione)
Vincenzo Leone,"Medico di medicina generale, vicepresidente SNAMI", † 21 03 2020
Antonio Buonomo,Medico legale, † 21 03 2020
Leonardo Marchi,"Medico infettivologo, direttore sanitario Casa di Cura San Camillo", † 21 03 2020
Manfredo Squeri,"Già medico ospedaliero, attualmente responsabile del reparto di Medicina nella Casa di Cura Piccole Figlie di Parma convenzionata con SSN", † 23 03 2020
Rosario Lupo ,"Medico legale, dirigente del Centro Medico Legale INPS di Bergamo",† 23 03 2020
Domenico De Gilio ,Medico di medicina generale,† 19 03 2020
Calogero Giabbarrasi,Medico di medicina generale, † 24 03 2020
Renzo Granata,Medico di medicina generale, † 23 03 2020
Ivano Garzena,Odontoiatra, † 23 03 2020
Ivan Mauri,Medico di medicina generale, † 24 03 2020
Gaetano Autore,Medico di medicina generale, † 25 03 2020
Vincenza Amato,Dirigente Medico Responsabile U.O.S. Igiene Sanità Pubblica del Dipartimento di Igiene e Prevenzione Sanitaria, † 24 03 2020
Gabriele Lombardi,Odontoiatra, † 18 03 2020
Mario Calonghi,Odontoiatra, † 22 03 2020
Marino Chiodi,Oculista, † 22 03 2020
Carlo Alberto Passera,Medico di medicina generale, † 25 03 2020
Francesco De Francesco,"Pensionato, già medico ospedaliero, scultore e pittore", † 23 03 2020
Antonio Maghernino,Medico di continuità assistenziale, † 25 03 2020
Flavio Roncoli,Pensionato, † 03 2020
Marco Lera,Odontoiatra, † 20 03 2020
Giulio Titta,"Medico di medicina generale, ex-segretario FIMMG", † 26 03 2020
Benedetto Comotti ,Ematologo,† 26 03 2020
Anna Maria Focarete,"Consigliere Provinciale FIMMG, Presidente SIMG e già consigliere dell’Ordine Prov. dei Medici di Lecco", † 27 03 2020
Dino Pesce,"Medico internista, per vent’anni primario del reperto di medicina generale dell’ospedale Villa Scassi di Sampierdarena", † 26 03 2020
Giulio Calvi,Medico di medicina generale, † 26 03 2020
Marcello Ugolini,"Pneumologo, consigliere dell’Ordine dei Medici", † 27 03 2020
Abdel Sattar Airoud,Medico di medicina generale, † 16 03 2020
Giuseppe,Medico di medicina generale,† 12 03 2020
Luigi Rocca,"Pediatra, in pensione", † 26 03 2020
Maurizio Galderisi,Cardiologo e professore di Medicina Interna all’Università Federico II di Napoli, † 27 03 2020
Leone Marco Wischkin,Medico internista, † 27 03 2020 (data segnalazione)
Rosario Vittorio Gentile,"Medico di medicina generale, specialista in allergologia ed ematologia", † 22 03 2020
Francesco Dall’Antonia,Ex-primario della Chirurgia I di Vicenza, † 24 03 2020
Abdulghani Taki Makki,Odontoiatra, † 24 03 2020
Aurelio Maria Comelli,"Cardiologo, ex primario di Medicina Interna", † 28 03 2020
Michele Lauriola,Medico di medicina generale, † 28 03 2020 (data segnalazione)*
Francesco De Alberti ,Ex presidente OMCeO Lecco,† 28 03 2020
Mario Luigi Salerno,Fisiatra, † 28 03 2020
Roberto Mario Lovotti,Medico di medicina generale, † 28 03 2020
Domenico Bardelli ,Odontoiatra,† 20 03 2020
Giovanni Francesconi,"Medico di medicina generale, in pensione", † 30 03 2020 (data segnalazione)*
Valter Tarantini,Ginecologo, † 19 03 2020
Guido Riva,Medico di medicina generale, † 30 03 2020 (data segnalazione)*
Gaetana Trimarchi,Medico di medicina generale, † 30 03 2020
Norman Jones,"Cardiologo, ex primario della cardiologia del centro di riabilitazione “Trabattoni-Ronzoni” di Seregno", † 27 03 2020
Roberto Mileti,Ginecologo, † 30 03 2020
Marino Signori ,Medico del lavoro,† 01 04 2020 (data segnalazione)*
Gianpaolo Sbardolini,Medico di medicina generale, † 26 03 2020
Marcello Cifola ,Otorinolaringoiatra,† 01 04 2020 (data segnalazione)*
Gennaro Annarumma ,,† 03 04 2020 (data segnalazione)*
Francesco Consigliere,Medico legale e docente universitario, † 03 04 2020 (data segnalazione)*
Alberto Paolini,, † 03 04 2020 (data segnalazione)*
Riccardo Paris,Cardiologo, † 03 04 2020 (data segnalazione)*
Dominique Musafiri ,Medico di medicina generale,† 03 04 2020
Italo Nosari,Diabetologo, † 03 04 2020 (data segnalazione)*
Gianroberto Monti,Odontoiatra, † 21 03 2020
Luciano Riva,"Pediatra, ex primario all’Ospedale di Desio", † 28 03 2020
Federico Vertemati,Medico di medicina generale, † 31 03 2020
Giovanni Battista Tommasino,Medico di medicina generale, † 04 04 2020
Paolo Peroni,Oftalmologo, † 30 03 2020
Riccardo Zucco,Neurologo, † 03 04 2020 (data segnalazione)*
